"activity_code","activity_description"
"A","stops for pathing (passing train)"
"C","stops for staffing reasons"
"D","stops to drop passengers off only"
"-D","divides here"
"N","stop unadvertised"
"R","stops on request"
"RM","reverses here"
"RR","loco runs around here"
"S","stops for staffing reasons"
"-T","loses and gains coaches here"
"TW","exchanges token here"
"U","stops to pick up passengers only"
"-U","gains coaches here"
"X","stops for pathing (passing train)"
